RPHASCH2410_RS30325	amidohydrolase	WP_016736951.1
RPHASCH2410_RS08755	DNA mismatch repair protein MutS	WP_016734968.1
RPHASCH2410_RS08780	signal peptidase II	WP_016734964.1
RPHASCH2410_RS08785	RNA methyltransferase	WP_016734963.1
RPHASCH2410_RS08810	integration host factor subunit beta	WP_003544934.1
RPHASCH2410_RS08815	signal peptide peptidase SppA	WP_016734957.1
RPHASCH2410_RS08830	LPS export ABC transporter ATP-binding protein	WP_003570776.1
RPHASCH2410_RS08850	PTS IIA-like nitrogen-regulatory protein PtsN	WP_003570770.1
RPHASCH2410_RS08855	methyl-accepting chemotaxis protein	WP_012482436.1
RPHASCH2410_RS08875	peptide deformylase	WP_029531659.1
RPHASCH2410_RS08890	methionyl-tRNA formyltransferase	WP_016734947.1
RPHASCH2410_RS08895	tRNA pseudouridine(38-40) synthase TruA	WP_016734946.1
RPHASCH2410_RS08905	succinyl-diaminopimelate desuccinylase	WP_029531658.1
RPHASCH2410_RS08910	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate	WP_016734945.1
RPHASCH2410_RS08935	6-O-methylguanine DNA methyltransferase	WP_016734937.1
RPHASCH2410_RS08990	YihA family ribosome biogenesis GTP-binding	WP_016734930.1
RPHASCH2410_RS08995	membrane protein insertase YidC	WP_029531655.1
RPHASCH2410_RS09170	nucleoside triphosphate hydrolase	WP_016734904.1
RPHASCH2410_RS09175	dihydroorotase	WP_016734903.1
RPHASCH2410_RS09200	orotate phosphoribosyltransferase	WP_016734900.1
RPHASCH2410_RS09210	alpha,alpha-trehalose-phosphate synthase	WP_016734898.1
RPHASCH2410_RS09215	glucose-6-phosphate isomerase	WP_016734897.1
RPHASCH2410_RS09220	long-chain-fatty-acid--CoA ligase	WP_016734896.1
RPHASCH2410_RS09240	ABC transporter permease	WP_012482530.1
RPHASCH2410_RS09245	ABC transporter ATP-binding protein	WP_012482531.1
RPHASCH2410_RS09250	ABC transporter permease	WP_012482532.1
RPHASCH2410_RS09255	ABC transporter substrate-binding protein	WP_016734892.1
RPHASCH2410_RS09265	copper homeostasis protein CutC	WP_016734890.1
RPHASCH2410_RS09270	dehydrogenase	WP_016734889.1
RPHASCH2410_RS09290	fucose-binding protein	WP_016734886.1
RPHASCH2410_RS09300	altronate dehydratase	WP_016734884.1
RPHASCH2410_RS09305	FCD domain-containing protein	WP_016734883.1
RPHASCH2410_RS09355	phosphate regulon sensor histidine kinase PhoR	WP_016734874.1
RPHASCH2410_RS09375	phosphate ABC transporter ATP-binding protein	WP_004672770.1
RPHASCH2410_RS09380	phosphate transport system regulatory protein	WP_004672769.1
RPHASCH2410_RS09385	phosphate regulon transcriptional regulatory	WP_004672768.1
RPHASCH2410_RS09395	acetylornithine transaminase	WP_012482560.1
RPHASCH2410_RS09405	Hsp33 family molecular chaperone	WP_012482562.1
RPHASCH2410_RS09415	Co2+/Mg2+ efflux protein ApaG	WP_004677057.1
RPHASCH2410_RS09485	dihydroorotate dehydrogenase (quinone)	WP_016734864.1
RPHASCH2410_RS09490	MATE family efflux transporter	WP_016734863.1
RPHASCH2410_RS09560	hemagglutinin	WP_016734852.1
RPHASCH2410_RS09585	3-hydroxyacyl-CoA dehydrogenase	WP_016734848.1
RPHASCH2410_RS09625	large conductance mechanosensitive channel	WP_016734843.1
RPHASCH2410_RS09635	UDP-glucose 4-epimerase GalE	WP_010007992.1
RPHASCH2410_RS09695	UDP-N-acetylglucosamine	WP_016734835.1
RPHASCH2410_RS09705	histidinol dehydrogenase	WP_016734833.1
RPHASCH2410_RS09720	translation initiation factor IF-1	WP_003545338.1
RPHASCH2410_RS09725	Maf-like protein	WP_012482617.1
RPHASCH2410_RS09790	LysR family transcriptional regulator	WP_016734824.1
RPHASCH2410_RS09815	RidA family protein	WP_012482632.1
RPHASCH2410_RS09860	LacI family transcriptional regulator	WP_004674538.1
RPHASCH2410_RS09870	sugar ABC transporter substrate-binding protein	WP_012482641.1
RPHASCH2410_RS09975	protein translocase subunit SecDF	WP_016734797.1
RPHASCH2410_RS09985	Kef family K(+) transporter	WP_016734795.1
RPHASCH2410_RS10015	chemotaxis protein CheA	WP_016734791.1
RPHASCH2410_RS10020	chemotaxis protein CheW	WP_010021829.1
RPHASCH2410_RS10025	chemotaxis protein	WP_012482666.1
RPHASCH2410_RS10070	flagellar biosynthesis protein FlhB	WP_029531633.1
RPHASCH2410_RS10080	flagellar motor switch protein FliN	WP_012482673.1
RPHASCH2410_RS10090	flagellar motor stator protein MotA	WP_012482675.1
RPHASCH2410_RS10115	flagellar basal body rod protein FlgC	WP_012482680.1
RPHASCH2410_RS10125	flagellar basal-body rod protein FlgG	WP_010023131.1
RPHASCH2410_RS10135	flagellar P-ring protein	WP_012482683.1
RPHASCH2410_RS10155	flagellar biosynthetic protein FliP	WP_004672297.1
RPHASCH2410_RS10190	flagellar motor protein MotB	WP_046977094.1
RPHASCH2410_RS10215	flagellar hook protein FlgE	WP_016734770.1
RPHASCH2410_RS10250	flagellar biosynthesis protein FlhA	WP_004672323.1
RPHASCH2410_RS10330	phosphogluconate dehydratase	WP_016734759.1
RPHASCH2410_RS10340	glucose-6-phosphate dehydrogenase	WP_004673775.1
RPHASCH2410_RS10355	NAD(P)/FAD-dependent oxidoreductase	WP_016734755.1
RPHASCH2410_RS10390	isocitrate lyase	WP_046977095.1
RPHASCH2410_RS10400	polyamine ABC transporter substrate-binding	WP_012482723.1
RPHASCH2410_RS10405	ABC transporter ATP-binding protein	WP_016734746.1
RPHASCH2410_RS10410	putrescine/spermidine ABC transporter permease	WP_012482725.1
RPHASCH2410_RS10415	putrescine ABC transporter permease PotI	WP_016734745.1
RPHASCH2410_RS10475	transcriptional regulator	WP_011424096.1
RPHASCH2410_RS10480	ABC transporter substrate-binding protein	WP_016734734.1
RPHASCH2410_RS10485	peptide ABC transporter permease	WP_004676182.1
RPHASCH2410_RS10490	dipeptide ABC transporter permease DppC	WP_012482735.1
RPHASCH2410_RS10495	ABC transporter ATP-binding protein	WP_016734733.1
RPHASCH2410_RS10500	ABC transporter ATP-binding protein	WP_004676185.1
RPHASCH2410_RS10505	gluconokinase	WP_016734732.1
RPHASCH2410_RS10540	glycosyltransferase	WP_016734725.1
RPHASCH2410_RS10555	hypothetical protein	WP_016734722.1
RPHASCH2410_RS10620	DegT/DnrJ/EryC1/StrS family aminotransferase	WP_016734709.1
RPHASCH2410_RS10640	GDP-mannose 4,6-dehydratase	WP_016734705.1
RPHASCH2410_RS10645	GDP-L-fucose synthase	WP_016734704.1
RPHASCH2410_RS10660	ribosomal RNA large subunit methyltransferase E	WP_012482788.1
RPHASCH2410_RS10670	MFS transporter	WP_012482790.1
RPHASCH2410_RS10680	IMP dehydrogenase	WP_012482792.1
RPHASCH2410_RS10710	LysR family transcriptional regulator	WP_012482798.1
RPHASCH2410_RS10745	LysR family transcriptional regulator	WP_016734691.1
RPHASCH2410_RS10750	FAD-binding oxidoreductase	WP_016734690.1
RPHASCH2410_RS10755	glycolate oxidase subunit GlcE	WP_016734689.1
RPHASCH2410_RS10760	glycolate oxidase iron-sulfur subunit	WP_029531626.1
RPHASCH2410_RS10780	L,D-transpeptidase	WP_016734686.1
RPHASCH2410_RS10785	DNA-3-methyladenine glycosylase I	WP_012482812.1
RPHASCH2410_RS10840	glutathione S-transferase	WP_016734678.1
RPHASCH2410_RS10850	molecular chaperone GroEL	WP_016734675.1
RPHASCH2410_RS10865	bifunctional riboflavin kinase/FAD synthetase	WP_029531622.1
RPHASCH2410_RS10880	isoleucine--tRNA ligase	WP_029531621.1
RPHASCH2410_RS10890	nucleoside deaminase	WP_016734672.1
RPHASCH2410_RS10895	pseudouridylate synthase	WP_016734671.1
RPHASCH2410_RS10900	16S rRNA (guanine(966)-N(2))-methyltransferase	WP_016734670.1
RPHASCH2410_RS10920	potassium transporter TrkA	WP_016734667.1
RPHASCH2410_RS10925	TldD/PmbA family protein	WP_012482838.1
RPHASCH2410_RS10940	3-deoxy-D-manno-octulosonic acid transferase	WP_012482840.1
RPHASCH2410_RS10950	tetraacyldisaccharide 4-kinase	WP_046977097.1
RPHASCH2410_RS10965	DNA mismatch repair endonuclease MutL	WP_016734663.1
RPHASCH2410_RS10990	2-dehydro-3-deoxy-6-phosphogalactonate aldolase	WP_016734659.1
RPHASCH2410_RS10995	2-dehydro-3-deoxygalactonokinase	WP_016734658.1
RPHASCH2410_RS11005	IclR family transcriptional regulator	WP_016734656.1
RPHASCH2410_RS11020	Fe-S-binding ATPase	WP_004680421.1
RPHASCH2410_RS11025	magnesium transporter	WP_012482854.1
RPHASCH2410_RS11030	potassium transporter Kup	WP_004680422.1
RPHASCH2410_RS11065	ribonuclease HII	WP_016734650.1
RPHASCH2410_RS11085	molybdenum cofactor biosynthesis protein B	WP_016734646.1
RPHASCH2410_RS11090	4-(cytidine	WP_016734645.1
RPHASCH2410_RS11100	polyprenyl synthetase family protein	WP_029531617.1
RPHASCH2410_RS11115	divalent metal cation transporter	WP_016734641.1
RPHASCH2410_RS11120	S49 family peptidase	WP_004672606.1
RPHASCH2410_RS11130	glycine--tRNA ligase subunit alpha	WP_016734639.1
RPHASCH2410_RS11155	3-phosphoshikimate 1-carboxyvinyltransferase	WP_016734636.1
RPHASCH2410_RS11160	DUF2207 domain-containing protein	WP_016734635.1
RPHASCH2410_RS11165	phosphoribosylamine--glycine ligase	WP_016734634.1
RPHASCH2410_RS11180	glycine--tRNA ligase subunit beta	WP_016734631.1
RPHASCH2410_RS11185	RNA-binding transcriptional accessory protein	WP_016734630.1
RPHASCH2410_RS11195	histidine phosphatase family protein	WP_012482876.1
RPHASCH2410_RS11205	4-hydroxybenzoate octaprenyltransferase	WP_029531616.1
RPHASCH2410_RS11225	threonylcarbamoyl-AMP synthase	WP_029531614.1
RPHASCH2410_RS11235	aromatic ring-hydroxylating dioxygenase subunit	WP_029531613.1
RPHASCH2410_RS11295	1-deoxy-D-xylulose-5-phosphate synthase	WP_016734613.1
RPHASCH2410_RS11315	exodeoxyribonuclease 7 small subunit	WP_003545921.1
RPHASCH2410_RS11340	malonyl-CoA synthase	WP_016734605.1
RPHASCH2410_RS11405	winged helix-turn-helix domain-containing	WP_016734593.1
RPHASCH2410_RS11410	3,4-dihydroxy-2-butanone-4-phosphate synthase	WP_004674139.1
RPHASCH2410_RS11415	chorismate synthase	WP_029531608.1
RPHASCH2410_RS11435	enoyl-[acyl-carrier-protein] reductase FabI	WP_016734590.1
RPHASCH2410_RS11450	pyridoxine/pyridoxamine 5-phosphate oxidase	WP_012482924.1
RPHASCH2410_RS11470	inorganic phosphate transporter	WP_016734587.1
RPHASCH2410_RS11485	metalloprotease TldD	WP_016734584.1
RPHASCH2410_RS11545	4-hydroxy-3-methylbut-2-enyl diphosphate	WP_016734576.1
RPHASCH2410_RS11555	ribonuclease H	WP_010032196.1
RPHASCH2410_RS11575	DUF179 domain-containing protein	WP_004673076.1
RPHASCH2410_RS11620	N-acetyltransferase	WP_004673096.1
RPHASCH2410_RS11630	threonine synthase	WP_016734566.1
RPHASCH2410_RS11650	MFS transporter	WP_046977101.1
RPHASCH2410_RS11700	site-specific DNA-methyltransferase	WP_012482959.1
RPHASCH2410_RS11715	A/G-specific adenine glycosylase	WP_016734552.1
RPHASCH2410_RS11730	LacI family transcriptional regulator	WP_016734548.1
RPHASCH2410_RS11740	ABC transporter permease	WP_016734546.1
RPHASCH2410_RS11870	acyl-[ACP]--phospholipid O-acyltransferase	WP_029531592.1
